"Lambda","upper","lower","upper.CI","lower.CI","upper.1","lower.1","upper.0","lower.0","Method"
1.081,-0.0280279681157939,-0.0813940844376448,NA,NA,NA,NA,NA,NA,"ZSB"
1.081,-0.0348547720104899,-0.0751669349139798,-0.011339110911371,-0.0991925739796688,0.645436767691355,0.619804318470012,0.694971253383992,0.680291539701845,"DVDS"
1.082,-0.027714150033668,-0.0817133464085556,NA,NA,NA,NA,NA,NA,"ZSB"
1.082,-0.0346495598708148,-0.075378141285084,-0.0111374765928298,-0.0994056938305513,0.645586964278695,0.619683958750161,0.695062100035245,0.68023652414951,"DVDS"
1.083,-0.0274006618161823,-0.0820323370249183,NA,NA,NA,NA,NA,NA,"ZSB"
1.083,-0.0344167804207496,-0.0755892625178315,-0.0109068852326724,-0.099619940531437,0.64573296866744,0.619556779560486,0.695146042078317,0.680149749088189,"DVDS"
1.084,-0.0270875029022919,-0.0823510566595074,NA,NA,NA,NA,NA,NA,"ZSB"
1.084,-0.0342875499390821,-0.075824647908706,-0.0107898851594857,-0.0998590073072374,0.645772675740374,0.61940462634625,0.695229274254956,0.680060225679456,"DVDS"
1.085,-0.0267746727322062,-0.082669505684289,NA,NA,NA,NA,NA,NA,"ZSB"
1.085,-0.0339790468447158,-0.0760742587297014,-0.0104876616688263,-0.100112389010601,0.645917081857958,0.619238709065656,0.695312967795357,0.679896128702674,"DVDS"
1.086,-0.0264621707473804,-0.0829876844704221,NA,NA,NA,NA,NA,NA,"ZSB"
1.086,-0.033744565298859,-0.076331467265046,-0.0102554169068426,-0.100372995256405,0.646061300658915,0.619065074879189,0.695396542144235,0.679805865957774,"DVDS"
1.087,-0.0261499963905084,-0.083305593388263,NA,NA,NA,NA,NA,NA,"ZSB"
1.087,-0.0334945555000306,-0.0765848629543252,-0.0100082781936097,-0.100629836887868,0.646210294541813,0.61890806923874,0.695492932193065,0.679704850041844,"DVDS"
1.088,-0.0258381491055312,-0.083623232807363,NA,NA,NA,NA,NA,NA,"ZSB"
1.088,-0.0332538420814512,-0.0768492102687559,-0.00976987854304824,-0.100896003059872,0.646360728474532,0.618764851586085,0.695614061854841,0.679614570555983,"DVDS"
1.089,-0.0255266283376226,-0.0839406030964781,NA,NA,NA,NA,NA,NA,"ZSB"
1.089,-0.0330198439201637,-0.0770892419250801,-0.00953805690237415,-0.101139835871436,0.646504494987117,0.618608601874639,0.695697843799719,0.679524338907281,"DVDS"
1.09,-0.025215433533192,-0.0842577046235663,NA,NA,NA,NA,NA,NA,"ZSB"
1.09,-0.03278519250358,-0.0773903890254422,-0.00930571330201229,-0.101440271073649,0.646644596145275,0.618452026031869,0.695842415057311,0.679429788648855,"DVDS"
1.091,-0.0249045641398783,-0.0845745377557928,NA,NA,NA,NA,NA,NA,"ZSB"
1.091,-0.0325647296502839,-0.077653855299447,-0.00908765339726322,-0.101707013396982,0.646787953565132,0.6182955563543,0.695949411653747,0.679352683215416,"DVDS"
1.092,-0.0245940196065469,-0.0848911028595316,NA,NA,NA,NA,NA,NA,"ZSB"
1.092,-0.0323315722680269,-0.0778945692997204,-0.00885660898392248,-0.101951707154543,0.64693111980859,0.618139175497475,0.696033744797195,0.679262692076617,"DVDS"
1.093,-0.024283799383287,-0.0852074003003664,NA,NA,NA,NA,NA,NA,"ZSB"
1.093,-0.0320723514641557,-0.0781327046530866,-0.00860042991196668,-0.102193811119418,0.64710039746233,0.617982887339351,0.696115591992437,0.679172748926486,"DVDS"
1.094,-0.0239739029214117,-0.0855234304430987,NA,NA,NA,NA,NA,NA,"ZSB"
1.094,-0.0318058803880728,-0.0783766581000571,-0.008337447728003,-0.102441718666142,0.647273893921983,0.617823017093346,0.696199675193403,0.679079774310056,"DVDS"
1.095,-0.0236643296734475,-0.0858391936517446,NA,NA,NA,NA,NA,NA,"ZSB"
1.095,-0.0315451130869292,-0.078616763876069,-0.0080798572310189,-0.102685856573087,0.647417081978576,0.617666882265248,0.696283646141317,0.678962195065505,"DVDS"
1.096,-0.0233550790931356,-0.0861546902895403,NA,NA,NA,NA,NA,NA,"ZSB"
1.096,-0.0313186451477445,-0.0788869550407681,-0.00785627302261417,-0.102958946061259,0.647560086520468,0.617480550102672,0.69636750514344,0.678878731668212,"DVDS"
1.097,-0.0230461506354311,-0.0864699207189436,NA,NA,NA,NA,NA,NA,"ZSB"
1.097,-0.0310858391740743,-0.0791431731393627,-0.00762551132036537,-0.10321883905377,0.647702900762511,0.617324305988255,0.696467479127618,0.678788739936585,"DVDS"
1.098,-0.0227375437564932,-0.0867848853016366,NA,NA,NA,NA,NA,NA,"ZSB"
1.098,-0.0308494948995886,-0.079392318398537,-0.00739126659443387,-0.103471848396127,0.647845522788902,0.617158956921666,0.696551275320203,0.678695017688491,"DVDS"
1.099,-0.0224292579136883,-0.0870995843985278,NA,NA,NA,NA,NA,NA,"ZSB"
1.099,-0.0306096374390186,-0.0796463068647559,-0.00715352332952644,-0.103729590512276,0.647987957229176,0.617002796393285,0.696649103258041,0.678597594668194,"DVDS"
1.1,-0.0221212925655824,-0.0874140183697586,NA,NA,NA,NA,NA,NA,"ZSB"
1.1,-0.0303720535204174,-0.0798717822053172,-0.00691819488890971,-0.103958712178954,0.648138979622977,0.61686101925505,0.696732801460367,0.678511033143394,"DVDS"
1.101,-0.0218136471719408,-0.0877281875746976,NA,NA,NA,NA,NA,NA,"ZSB"
1.101,-0.0301325528621643,-0.0801112130974661,-0.00668080873202926,-0.104202255700275,0.648288614667933,0.616705171423909,0.696816384521375,0.678421167530097,"DVDS"
1.102,-0.021506321193722,-0.0880420923719514,NA,NA,NA,NA,NA,NA,"ZSB"
1.102,-0.0298885445641677,-0.0803504299635266,-0.00643927858723769,-0.104445602962669,0.648442804250121,0.616549414349844,0.696899844313371,0.678331348814289,"DVDS"
1.103,-0.0211993140930801,-0.0883557331193645,NA,NA,NA,NA,NA,NA,"ZSB"
1.103,-0.0296073359629397,-0.0806191444793149,-0.00616155668957312,-0.104717652784373,0.648634240905477,0.616364048021773,0.696983192501088,0.678241576868417,"DVDS"
1.104,-0.0208926253333517,-0.0886691101740165,NA,NA,NA,NA,NA,NA,"ZSB"
1.104,-0.0293753753600761,-0.0808511724992241,-0.00593151166220351,-0.104952946558327,0.648776480611221,0.616211528693396,0.69706270119262,0.678151855971297,"DVDS"
