"Lambda","upper","lower","upper.CI","lower.CI","upper.1","lower.1","upper.0","lower.0","Method"
1.027,-0.0479744598116562,-0.0617496926444838,-0.024297260362855,-0.0855901254966175,0.637277516756664,0.628531822831442,0.690281515475926,0.68525197656832,"DVDS"
1.028,-0.0452117343445374,-0.0641323906360394,NA,NA,NA,NA,NA,NA,"ZSB"
1.028,-0.0477216162141022,-0.0620000195625309,-0.0240471217842594,-0.0858437129529148,0.637435958384086,0.628370790414188,0.690370809976719,0.685157574598188,"DVDS"
1.029,-0.0448797129963153,-0.0644664745361511,NA,NA,NA,NA,NA,NA,"ZSB"
1.029,-0.0474571946853195,-0.0622501249365983,-0.0237859645871417,-0.0860970996352045,0.637594184542462,0.628209852361328,0.690459977297926,0.685051379227781,"DVDS"
1.03,-0.0445480530303567,-0.0648002662184763,NA,NA,NA,NA,NA,NA,"ZSB"
1.03,-0.0472044868415546,-0.062500007265713,-0.0235359289924065,-0.0863502838955403,0.637752194371663,0.628049010544262,0.690549017809975,0.684956681213218,"DVDS"
1.031,-0.0442167538144913,-0.0651337661026386,NA,NA,NA,NA,NA,NA,"ZSB"
1.031,-0.0469400633543758,-0.062748543603393,-0.0232748806085523,-0.0866021285403305,0.63792422868529,0.627888262524112,0.690636806127505,0.684864292039666,"DVDS"
1.032,-0.0438858147179864,-0.0654669746072947,NA,NA,NA,NA,NA,NA,"ZSB"
1.032,-0.0466618812470765,-0.0630055955888248,-0.0230002378365252,-0.0868622787087986,0.638107891873575,0.627719957453484,0.690725553042309,0.684769773120652,"DVDS"
1.033,-0.0435552351115533,-0.0657998921501284,NA,NA,NA,NA,NA,NA,"ZSB"
1.033,-0.0464096935084954,-0.0632519490760202,-0.0227507519077034,-0.0871119098471262,0.638266107396972,0.627562224886028,0.690814173962048,0.684675800905467,"DVDS"
1.034,-0.0432250143673304,-0.0661325191478653,NA,NA,NA,NA,NA,NA,"ZSB"
1.034,-0.0461593062945336,-0.0635045831913092,-0.0225030226279914,-0.0873677966252277,0.638424487962107,0.627401617947526,0.690906201138835,0.684583794256641,"DVDS"
1.035,-0.0428951518588899,-0.0664648560162645,NA,NA,NA,NA,NA,NA,"ZSB"
1.035,-0.0459143409093219,-0.0637535613967521,-0.0222608370414602,-0.0876201658044181,0.638582656296978,0.62724110612098,0.690994667517732,0.6844969972063,"DVDS"
1.036,-0.0425656469612293,-0.066796903170132,NA,NA,NA,NA,NA,NA,"ZSB"
1.036,-0.0456623940916572,-0.0640023185870953,-0.0220114652622356,-0.0878723343594743,0.638740606456441,0.627080689991848,0.691083008578944,0.684403000548098,"DVDS"
1.037,-0.042236499050766,-0.067128661023317,NA,NA,NA,NA,NA,NA,"ZSB"
1.037,-0.0454059274321402,-0.0642559417670699,-0.0217576356014111,-0.0881291347977345,0.638903131770522,0.626920368558276,0.691176310325346,0.684309059202662,"DVDS"
1.038,-0.0419077075053395,-0.0674601299887207,NA,NA,NA,NA,NA,NA,"ZSB"
1.038,-0.0451536395331146,-0.0645057434037923,-0.0215079102461785,-0.0883823642917902,0.639062302060518,0.62676014098529,0.691265884389082,0.684215941593632,"DVDS"
1.039,-0.0415792717042,-0.0677913104782951,NA,NA,NA,NA,NA,NA,"ZSB"
1.039,-0.0449031309543899,-0.064753382243019,-0.0212599101566029,-0.0886334595729236,0.639219770418737,0.626600007884826,0.691353390127845,0.684122901373127,"DVDS"
1.04,-0.041251191028008,-0.0681222029030487,NA,NA,NA,NA,NA,NA,"ZSB"
1.04,-0.0446846725553168,-0.0649813991725517,-0.021046512776285,-0.0888635259641797,0.639377024288308,0.626462622688534,0.691444021861086,0.684061696843625,"DVDS"
1.041,-0.0409234648588337,-0.0684528076730503,NA,NA,NA,NA,NA,NA,"ZSB"
1.041,-0.0444396196276367,-0.06523068636803,-0.0208042541096093,-0.0891162421106069,0.63952710224165,0.626303229384074,0.691533915752104,0.683966721869287,"DVDS"
1.042,-0.0405960925801496,-0.0687831251974307,NA,NA,NA,NA,NA,NA,"ZSB"
1.042,-0.0441900682127019,-0.0655009778156782,-0.0205571972943393,-0.0893874217209886,0.639683764949126,0.626143927340205,0.691644905155883,0.683873833161828,"DVDS"
1.043,-0.0402690735768235,-0.0691131558843859,NA,NA,NA,NA,NA,NA,"ZSB"
1.043,-0.0439434358637849,-0.0657484520487082,-0.0203130800310108,-0.0896383442646276,0.639840214609433,0.625984717892637,0.691733169941345,0.683783650473217,"DVDS"
1.044,-0.0399424072351248,-0.069442900141184,NA,NA,NA,NA,NA,NA,"ZSB"
1.044,-0.0436887388979793,-0.0659856294036417,-0.0200609746540105,-0.0898787434915903,0.640002187037791,0.625829193970256,0.691814823373898,0.683690925935771,"DVDS"
1.045,-0.0396160929427083,-0.0697723583741619,NA,NA,NA,NA,NA,NA,"ZSB"
1.045,-0.0434414190496477,-0.0662306440308906,-0.0198161202591597,-0.0901272149917602,0.640156323909315,0.62567025153388,0.69190089556477,0.683597742958963,"DVDS"
1.046,-0.0392901300886196,-0.0701015309887374,NA,NA,NA,NA,NA,NA,"ZSB"
1.046,-0.0431811252118824,-0.0664869400566611,-0.0195588119443773,-0.090386684424605,0.640326042834879,0.625501663186194,0.691988603242855,0.683507168046762,"DVDS"
1.047,-0.0389645180632884,-0.0704304183894007,NA,NA,NA,NA,NA,NA,"ZSB"
1.047,-0.0429289684220818,-0.0667334845555247,-0.019309097121131,-0.0906367444866517,0.64048203140748,0.625342695038682,0.692076179594207,0.683410999829561,"DVDS"
1.048,-0.0386392562585238,-0.0707590209797295,NA,NA,NA,NA,NA,NA,"ZSB"
1.048,-0.0426755180382281,-0.0669798095089485,-0.0190581008951057,-0.0908866047923396,0.640637811075632,0.625183823345304,0.692163632854253,0.68331332911386,"DVDS"
1.049,-0.0383143440675117,-0.0710873391623857,NA,NA,NA,NA,NA,NA,"ZSB"
1.049,-0.0424608272219725,-0.0672315957072246,-0.0188471432126648,-0.0911418152239857,0.640765993244406,0.625019367767605,0.69225096347483,0.683226820466378,"DVDS"
1.05,-0.037989780884813,-0.0714153733391176,NA,NA,NA,NA,NA,NA,"ZSB"
1.05,-0.0422359121308098,-0.0674775885922995,-0.0186257599612883,-0.0913913804049901,0.640920803252034,0.624860579722155,0.692338168314455,0.683156715382844,"DVDS"
1.051,-0.0376655661063538,-0.0717431239107694,NA,NA,NA,NA,NA,NA,"ZSB"
1.051,-0.0419893651333669,-0.0677418162163274,-0.0183815540323469,-0.0916581638929262,0.641075405688623,0.624681429042196,0.692423245258524,0.68306477082199,"DVDS"
1.052,-0.0373416991294285,-0.0720705912772766,NA,NA,NA,NA,NA,NA,"ZSB"
1.052,-0.0417114601461875,-0.0679810667003559,-0.0181079313732884,-0.0919003426316201,0.641261421485909,0.624529097531095,0.692510164231451,0.682972881632096,"DVDS"
1.053,-0.0370181793526921,-0.0723977758376741,NA,NA,NA,NA,NA,NA,"ZSB"
1.053,-0.0414819127409387,-0.068212653189999,-0.0178811492308612,-0.0921350310115594,0.641406801534893,0.624370314256367,0.692582967446366,0.682888714275832,"DVDS"
1.054,-0.0366950061761583,-0.0727246779900982,NA,NA,NA,NA,NA,NA,"ZSB"
1.054,-0.0412358718392104,-0.0684548839424201,-0.017637420138589,-0.0923789953015443,0.641561194473981,0.624216050399181,0.692670934341601,0.682797066313191,"DVDS"
1.055,-0.036372179001196,-0.0730512981317888,NA,NA,NA,NA,NA,NA,"ZSB"
1.055,-0.0409900844200034,-0.068695962126323,-0.0173939198615391,-0.0926234655876936,0.641715383635379,0.624053570826166,0.692749532952489,0.682705468055382,"DVDS"
